140	jdi	jadi
141	jg	juga
142	jga	juga
143	jgn	jangan
144	jngan	jangan
145	jngn	jangan
146	jln	jalan
147	jlan	jalan
148	jbtn	jabatan
149	jkrt	jakarta
150	jwb	jawab
151	jwab	jawab
152	jwbn	jawaban
153	jwban	jawaban
154	jwaban	jawaban
155	jlas	jelas
156	jnis	jenis
157	kbr	kabar
158	kbar	kabar
159	kaga	enggak
160	kagak	enggak
161	kalo	kalau
162	kl	kalau
163	klo	kalau
164	klw	kalau
165	kmdn	kemudian
166	km	kamu
167	kmu	kamu
168	kntr	kantor
169	kntor	kantor
170	knp	kenapa
171	knpa	kenapa
172	knapa	kenapa
173	ko	kok
174	kpan	kapan
175	kpn	kapan
176	karna	karena
177	krn	karena
178	krna	karena
179	krng	kurang
180	keles	kali
181	kli	kali
182	klian	kalian
183	kmi	kami
184	kn	kan
185	kpl	kapal
186	kpal	kapal
187	kluar	keluar
188	kpd	kepada
189	kpl	kepala
190	krj	kerja
191	krja	kerja
192	laen	lain
193	lbih	lebih
194	lbh	lebih
195	lg	lagi
196	lgi	lagi
197	llu	lalu
198	lo	kamu
199	loe	kamu
200	lu	kamu
201	lw	kamu
202	lgu	lagu
203	lma	lama
204	lh	lah
205	lngkh	langkah
206	lngkah	langkah
207	lnjt	lanjut
208	lnjut	lanjut
209	lprn	laporan
210	lwt	lewat
211	lwat	lewat
212	mcm	macam
213	mcam	macam
214	mka	maka
215	malem	malam
216	masi	masih
217	msih	masih
218	min	admin
219	mlm	malam
220	mlam	malam
221	mlem	malam
222	mo	mau
223	mrh	marah
224	mw	mau
225	mna	mana
226	mmpu	mampu
227	msing	masing
228	msuk	masuk
229	mlalui	melalui
230	mmang	memang
231	mnuju	menuju
232	mski	meski
233	mlik	milik
234	mnta	minta
235	mdh	mudah
236	mgkin	mungkin
237	mngkn	mungkin
238	mngkin	mungkin
239	nm	nama
240	nma	nama
241	napa	kenapa
242	ngga	tidak
243	nggak	tidak
244	nih	ini
245	nite	malam
246	npa	kenapa
247	nmn	namun
248	nmun	namun
249	nnti	nanti
250	nmr	nomor
251	nmor	nomor
252	org	orang
253	orng	orang
254	pd	pada
255	pda	pada
256	pdhl	padahal
257	pdhal	padahal
258	psar	pasar
259	pengen	ingin
260	pngen	ingin
261	prcm	percuma
262	prcma	percuma
263	prnah	pernah
264	prnh	pernah
265	prsden	presiden
266	prsdn	presiden
267	prsiden	presiden
268	psti	pasti
269	pmain	pemain
270	pnting	penting
271	prlu	perlu
272	plhn	pilihan
273	pkul	pukul
274	pny	punya
275	pnya	punya
276	qm	kamu
277	qmu	kamu
278	qo	kok
279	qt	kita
280	qta	kita
281	rame	ramai
282	sampe	sampai
283	sbg	sebagai
284	skul	sekolah 
285	skrang	sekarang
286	skrng	sekarang
287	skrg	sekarang
288	slah	salah
289	slh	salah
290	sm	sama
291	sma	sama
292	smoga	semoga
293	smpai	sampai
294	smpe	sampai
295	spa	siapa
